"","gene","s0"
"1","CNN3",-0.228636493801544
"2","PIFO",0.271260504617518
"3","CENPL",-2.33767919374825
"4","PHLDA3",2.18144331750619
"5","LYPD1",0.224277414937461
"6","DIRC1",0.829232005276032
"7","CHL1",2.37768680514775
"8","TUSC2",1.08071742371272
"9","MANF",-1.12641610733974
"10","RPP14",0.746196446264189
"11","MAGI1",-0.613678024173129
"12","LDB2",-0.263456056856904
"13","PDCL2",-4.46909521697708
"14","PITX2",0.319135124581737
"15","HPGD",1.67108596879858
"16","C4orf47",0.475681079490408
"17","C5orf49",0.526619575482977
"18","SPATA9",-2.16447347984666
"19","RGMB",-0.337687589808662
"20","HIST1H2BN",-0.208495335320597
"21","STMN4",-1.04261807144288
"22","SDC2",-1.16416741116501
"23","FAM84B",0.930015320634383
"24","KHDRBS3",-0.42231098136484
"25","NUTM2F",-0.716693740851723
"26","DPM2",-3.20477082657996
"27","ASAH2B",1.77105467352316
"28","TMEM26",0.400108558388435
"29","CCDC90B",0.896412563132181
"30","TPI1",-2.60307822032107
"31","SIX4",0.846848599299992
"32","LEO1",0.626673312270202
"33","SETD6",2.41719362827203
"34","HSBP1",0.430773564903923
"35","TSR1",0.182540967084899
"36","ODF4",-0.237237795509882
"37","CSH2",-2.27595352946487
"38","ZNF396",3.70527541492769
"39","CDH19",-2.12875029295277
"40","ZNF812",-2.50489244526443
"41","COX6B1",0.712573793054732
"42","BMP2",-1.01362862835856
"43","CDH4",-0.109139349430163
"44","RFPL3S",-0.728280271870402
